a[4]: -996154; a[1028]: 47940; a[1944]: 948214
a[183]: -810902; a[908]: -77867; a[1879]: 888769
a[187]: -804778; a[847]: -135078; a[1937]: 939856
a[187]: -804778; a[1119]: 144380; a[1633]: 660398
a[187]: -804778; a[1191]: 219956; a[1566]: 584822
a[188]: -804548; a[1053]: 73042; a[1706]: 731506
a[188]: -804548; a[1248]: 273535; a[1524]: 531013
a[190]: -801226; a[988]: 13993; a[1761]: 787233
a[191]: -798588; a[1023]: 44642; a[1727]: 753946
a[191]: -798588; a[1185]: 208783; a[1570]: 589805
a[193]: -797236; a[1244]: 268512; a[1523]: 528724
a[194]: -796813; a[1068]: 99424; a[1669]: 697389
a[194]: -796813; a[1112]: 136603; a[1630]: 660210
a[195]: -796763; a[822]: -165527; a[1960]: 962290
a[197]: -795078; a[928]: -52962; a[1833]: 848040
a[197]: -795078; a[1101]: 129696; a[1638]: 665382
a[200]: -793873; a[1371]: 392590; a[1382]: 401283
a[201]: -793788; a[1242]: 266751; a[1521]: 527037
a[203]: -791586; a[1054]: 74759; a[1691]: 716827
a[203]: -791586; a[1056]: 79503; a[1685]: 712083
a[204]: -789613; a[963]: -17535; a[1791]: 807148
a[208]: -786247; a[903]: -80572; a[1854]: 866819
a[209]: -783640; a[1262]: 284680; a[1488]: 498960
a[210]: -783424; a[892]: -88785; a[1864]: 872209
a[212]: -782894; a[1007]: 28948; a[1727]: 753946
a[212]: -782894; a[1060]: 85505; a[1669]: 697389
a[213]: -782888; a[1325]: 351224; a[1412]: 431664
a[215]: -782042; a[1340]: 368095; a[1394]: 413947
a[217]: -781838; a[1318]: 341808; a[1423]: 440030
a[223]: -769449; a[1034]: 54384; a[1688]: 715065
a[225]: -768774; a[1026]: 46096; a[1698]: 722678
a[225]: -768774; a[1254]: 277263; a[1480]: 491511
a[232]: -757619; a[939]: -41418; a[1784]: 799037
a[234]: -754755; a[941]: -40371; a[1775]: 795126
a[234]: -754755; a[1180]: 199524; a[1542]: 555231
a[236]: -754415; a[1233]: 259322; a[1486]: 495093
a[240]: -747859; a[1307]: 330345; a[1399]: 417514
a[240]: -747859; a[1337]: 365767; a[1357]: 382092
a[243]: -744477; a[859]: -119878; a[1850]: 864355
a[244]: -743232; a[1058]: 80208; a[1637]: 663024
a[248]: -740305; a[965]: -17212; a[1732]: 757517
a[248]: -740305; a[1048]: 64467; a[1647]: 675838
a[249]: -739819; a[1249]: 273789; a[1456]: 466030
a[249]: -739819; a[1304]: 325398; a[1396]: 414421
a[250]: -739504; a[1220]: 250472; a[1476]: 489032
a[250]: -739504; a[1308]: 331339; a[1391]: 408165
a[251]: -738817; a[1238]: 261424; a[1463]: 477393
a[252]: -738577; a[1255]: 277801; a[1444]: 460776
a[253]: -738552; a[802]: -188839; a[1920]: 927391
a[257]: -735047; a[1054]: 74759; a[1631]: 660288
a[260]: -732347; a[781]: -208273; a[1938]: 940620
a[260]: -732347; a[847]: -135078; a[1855]: 867425
a[263]: -729767; a[1260]: 280615; a[1430]: 449152
a[265]: -729285; a[762]: -224982; a[1952]: 954267
a[265]: -729285; a[794]: -198106; a[1920]: 927391
a[265]: -729285; a[885]: -95381; a[1811]: 824666
a[268]: -724916; a[784]: -207239; a[1924]: 932155
a[268]: -724916; a[1201]: 226070; a[1487]: 498846
a[271]: -721429; a[1113]: 137429; a[1565]: 584000
a[271]: -721429; a[1293]: 317427; a[1385]: 404002
a[273]: -720950; a[1041]: 60662; a[1631]: 660288
a[277]: -716234; a[895]: -85647; a[1786]: 801881
a[277]: -716234; a[1265]: 287381; a[1409]: 428853
a[278]: -715284; a[1290]: 314844; a[1381]: 400440
a[281]: -713618; a[776]: -211495; a[1916]: 925113
a[282]: -712535; a[1119]: 144380; a[1555]: 568155
a[283]: -709282; a[865]: -113011; a[1806]: 822293
a[283]: -709282; a[985]: 13249; a[1666]: 696033
a[287]: -704889; a[914]: -69279; a[1749]: 774168
a[289]: -704098; a[887]: -91765; a[1780]: 795863
a[293]: -698797; a[1112]: 136603; a[1551]: 562194
a[293]: -698797; a[1239]: 262099; a[1420]: 436698
a[293]: -698797; a[1259]: 280581; a[1400]: 418216
a[293]: -698797; a[1291]: 316710; a[1356]: 382087
a[294]: -696251; a[1213]: 237135; a[1442]: 459116
a[294]: -696251; a[1292]: 317172; a[1354]: 379079
a[297]: -688265; a[727]: -264570; a[1949]: 952835
a[297]: -688265; a[1199]: 225022; a[1452]: 463243
a[298]: -687353; a[784]: -207239; a[1884]: 894592
a[299]: -686477; a[897]: -84797; a[1744]: 771274
a[299]: -686477; a[1044]: 61542; a[1601]: 624935
a[300]: -686415; a[707]: -279833; a[1966]: 966248
a[300]: -686415; a[858]: -121026; a[1793]: 807441
a[301]: -683983; a[1075]: 107574; a[1559]: 576409
a[304]: -680959; a[811]: -177725; a[1846]: 858684
a[304]: -680959; a[1118]: 142969; a[1528]: 537990
a[307]: -678513; a[689]: -298332; a[1975]: 976845
a[310]: -674624; a[925]: -55729; a[1704]: 730353
a[311]: -674365; a[1058]: 80208; a[1572]: 594157
a[312]: -672614; a[1077]: 109608; a[1553]: 563006
a[313]: -669193; a[880]: -97051; a[1741]: 766244
a[313]: -669193; a[1138]: 162767; a[1498]: 506426
a[316]: -665512; a[715]: -275108; a[1938]: 940620
a[316]: -665512; a[919]: -62421; a[1702]: 727933
a[317]: -665219; a[657]: -329099; a[1996]: 994318
a[319]: -663456; a[699]: -288684; a[1948]: 952140
a[324]: -656907; a[907]: -77878; a[1709]: 734785
a[324]: -656907; a[1284]: 309723; a[1323]: 347184
a[326]: -655935; a[655]: -329206; a[1987]: 985141
a[326]: -655935; a[689]: -298332; a[1952]: 954267
a[329]: -652633; a[938]: -41691; a[1664]: 694324
a[330]: -651611; a[1221]: 251171; a[1381]: 400440
a[333]: -648617; a[920]: -58454; a[1680]: 707071
a[335]: -646744; a[1145]: 165980; a[1469]: 480764
a[335]: -646744; a[1179]: 198983; a[1429]: 447761
a[338]: -643979; a[695]: -292056; a[1928]: 936035
a[341]: -638090; a[723]: -268590; a[1899]: 906680
a[342]: -637881; a[897]: -84797; a[1698]: 722678
a[344]: -634375; a[1213]: 237135; a[1376]: 397240
a[346]: -633289; a[615]: -366083; a[1999]: 999372
a[346]: -633289; a[749]: -243121; a[1870]: 876410
a[346]: -633289; a[1008]: 29332; a[1578]: 603957
a[348]: -629916; a[687]: -306119; a[1928]: 936035
a[348]: -629916; a[1113]: 137429; a[1483]: 492487
a[350]: -629685; a[1017]: 41615; a[1567]: 588070
a[351]: -628384; a[611]: -370988; a[1999]: 999372
a[353]: -628054; a[633]: -354401; a[1982]: 982455
a[353]: -628054; a[854]: -126303; a[1728]: 754357
a[353]: -628054; a[874]: -103365; a[1705]: 731419
a[354]: -627027; a[1092]: 121702; a[1494]: 505325
a[356]: -624859; a[850]: -129634; a[1729]: 754493
a[356]: -624859; a[1248]: 273535; a[1326]: 351324
a[357]: -623898; a[622]: -362809; a[1989]: 986707
a[357]: -623898; a[1168]: 187200; a[1420]: 436698
a[362]: -621017; a[813]: -175302; a[1781]: 796319
a[362]: -621017; a[991]: 19000; a[1576]: 602017
a[364]: -619544; a[1234]: 260262; a[1335]: 359282
a[368]: -616735; a[844]: -139176; a[1730]: 755911
a[368]: -616735; a[1277]: 299563; a[1292]: 317172
a[372]: -612859; a[1066]: 99179; a[1507]: 513680
a[372]: -612859; a[1077]: 109608; a[1492]: 503251
a[372]: -612859; a[1275]: 298015; a[1290]: 314844
a[376]: -609140; a[1255]: 277801; a[1308]: 331339
a[377]: -607305; a[875]: -103194; a[1682]: 710499
a[377]: -607305; a[1142]: 164076; a[1426]: 443229
a[379]: -604901; a[1221]: 251171; a[1331]: 353730
a[379]: -604901; a[1247]: 273452; a[1309]: 331449
a[383]: -600389; a[725]: -268244; a[1859]: 868633
a[385]: -599335; a[600]: -383120; a[1982]: 982455
a[385]: -599335; a[1180]: 199524; a[1380]: 399811
a[389]: -598139; a[1066]: 99179; a[1488]: 498960
a[393]: -595705; a[587]: -399395; a[1997]: 995100
a[393]: -595705; a[1085]: 116961; a[1466]: 478744
a[393]: -595705; a[1166]: 184906; a[1392]: 410799
a[394]: -595578; a[628]: -360570; a[1954]: 956148
a[394]: -595578; a[842]: -139709; a[1711]: 735287
a[395]: -595571; a[1132]: 157851; a[1421]: 437720
a[396]: -594185; a[767]: -221911; a[1798]: 816096
a[396]: -594185; a[1180]: 199524; a[1375]: 394661
a[398]: -593972; a[1078]: 110116; a[1471]: 483856
a[399]: -592129; a[686]: -306923; a[1890]: 899052
a[402]: -588053; a[722]: -269875; a[1844]: 857928
a[403]: -587480; a[912]: -71232; a[1628]: 658712
a[405]: -586727; a[1143]: 164411; a[1403]: 422316
a[408]: -584809; a[585]: -402513; a[1990]: 987322
a[408]: -584809; a[874]: -103365; a[1656]: 688174
a[409]: -583645; a[774]: -212101; a[1779]: 795746
a[411]: -581153; a[1245]: 268583; a[1287]: 312570
a[417]: -577982; a[616]: -365580; a[1941]: 943562
a[417]: -577982; a[1169]: 188370; a[1367]: 389612
a[418]: -577791; a[735]: -255922; a[1816]: 833713
a[418]: -577791; a[1181]: 205241; a[1346]: 372550
a[421]: -576758; a[654]: -329433; a[1898]: 906191
a[422]: -574291; a[917]: -68085; a[1618]: 642376
a[425]: -572511; a[1131]: 157230; a[1397]: 415281
a[427]: -571519; a[994]: 20012; a[1539]: 551507
a[431]: -567877; a[830]: -151404; a[1693]: 719281
a[431]: -567877; a[850]: -129634; a[1670]: 697511
a[431]: -567877; a[948]: -34140; a[1576]: 602017
a[433]: -563503; a[578]: -416608; a[1979]: 980111
a[433]: -563503; a[792]: -199842; a[1738]: 763345
a[433]: -563503; a[962]: -18011; a[1563]: 581514
a[434]: -563493; a[841]: -139712; a[1678]: 703205
a[436]: -560327; a[629]: -359226; a[1914]: 919553
a[439]: -556606; a[828]: -155770; a[1686]: 712376
a[439]: -556606; a[1038]: 57646; a[1488]: 498960
a[441]: -554384; a[863]: -115164; a[1642]: 669548
a[445]: -549828; a[627]: -361199; a[1903]: 911027
a[446]: -547520; a[1167]: 186262; a[1336]: 361258
a[449]: -545942; a[1057]: 79912; a[1456]: 466030
a[450]: -545923; a[774]: -212101; a[1733]: 758024
a[452]: -544108; a[682]: -309566; a[1838]: 853674
a[455]: -541751; a[865]: -113011; a[1623]: 654762
a[456]: -539215; a[1237]: 261263; a[1256]: 277952
a[457]: -538714; a[782]: -208072; a[1720]: 746786
a[457]: -538714; a[1160]: 177456; a[1336]: 361258
a[458]: -537314; a[689]: -298332; a[1820]: 835646
a[461]: -533213; a[1057]: 79912; a[1434]: 453301
a[463]: -531138; a[720]: -272629; a[1789]: 803767
a[464]: -529036; a[570]: -425124; a[1951]: 954160
a[464]: -529036; a[1229]: 254760; a[1251]: 274276
a[468]: -519505; a[740]: -252520; a[1746]: 772025
a[470]: -518225; a[516]: -472211; a[1991]: 990436
a[470]: -518225; a[1232]: 257176; a[1236]: 261049
a[472]: -515484; a[775]: -211861; a[1701]: 727345
a[477]: -509529; a[534]: -458462; a[1967]: 967991
a[477]: -509529; a[623]: -362375; a[1863]: 871904
a[477]: -509529; a[1071]: 102526; a[1390]: 407003
a[478]: -509104; a[655]: -329206; a[1825]: 838310
a[478]: -509104; a[1021]: 43848; a[1455]: 465256
a[479]: -506770; a[1122]: 147811; a[1333]: 358959
a[480]: -504909; a[493]: -494463; a[1999]: 999372
a[480]: -504909; a[856]: -124243; a[1605]: 629152
a[480]: -504909; a[1082]: 112319; a[1371]: 392590
a[481]: -504760; a[985]: 13249; a[1480]: 491511
a[484]: -504329; a[511]: -478131; a[1983]: 982460
a[484]: -504329; a[1128]: 153105; a[1325]: 351224
a[485]: -503829; a[1008]: 29332; a[1462]: 474497
a[486]: -503323; a[927]: -54579; a[1546]: 557902
a[487]: -502070; a[533]: -460220; a[1960]: 962290
a[493]: -494463; a[1207]: 232364; a[1239]: 262099
a[494]: -494182; a[536]: -457525; a[1947]: 951707
a[497]: -490885; a[909]: -74716; a[1554]: 565601
a[498]: -488541; a[659]: -328660; a[1800]: 817201
a[498]: -488541; a[945]: -36651; a[1518]: 525192
a[500]: -486173; a[825]: -159280; a[1622]: 645453
a[502]: -484360; a[997]: 21738; a[1451]: 462622
a[503]: -482227; a[703]: -282890; a[1739]: 765117
a[504]: -481921; a[905]: -79501; a[1550]: 561422
a[504]: -481921; a[995]: 21071; a[1445]: 460850
a[505]: -480968; a[679]: -311846; a[1770]: 792814
a[506]: -480205; a[582]: -405375; a[1876]: 885580
a[507]: -479330; a[512]: -477897; a[1955]: 957227
a[507]: -479330; a[847]: -135078; a[1594]: 614408
a[512]: -477897; a[530]: -463553; a[1939]: 941450
a[513]: -475905; a[545]: -450690; a[1918]: 926595
a[513]: -475905; a[1122]: 147811; a[1306]: 328094
a[516]: -472211; a[862]: -116567; a[1569]: 588778
a[517]: -471425; a[756]: -229939; a[1676]: 701364
a[517]: -471425; a[778]: -210707; a[1651]: 682132
a[519]: -469880; a[711]: -276906; a[1720]: 746786
a[522]: -469740; a[650]: -332141; a[1786]: 801881
a[523]: -469406; a[1183]: 207982; a[1238]: 261424
a[524]: -469125; a[667]: -323521; a[1769]: 792646
a[524]: -469125; a[845]: -139108; a[1585]: 608233
a[527]: -466551; a[840]: -139861; a[1583]: 606412
a[529]: -464183; a[695]: -292056; a[1731]: 756239
a[533]: -460220; a[791]: -200178; a[1633]: 660398
a[534]: -458462; a[1062]: 90367; a[1340]: 368095
a[535]: -458444; a[608]: -376511; a[1817]: 834955
a[535]: -458444; a[1042]: 61204; a[1376]: 397240
a[536]: -457525; a[653]: -329967; a[1762]: 787492
a[538]: -457120; a[745]: -247829; a[1679]: 704949
a[538]: -457120; a[829]: -151704; a[1586]: 608824
a[540]: -455503; a[1134]: 158597; a[1272]: 296906
a[542]: -452424; a[575]: -419480; a[1863]: 871904
a[544]: -450973; a[966]: -17003; a[1457]: 467976
a[544]: -450973; a[1144]: 165187; a[1263]: 285786
a[546]: -449851; a[1129]: 155091; a[1271]: 294760
a[548]: -447956; a[761]: -224986; a[1644]: 672942
a[549]: -447545; a[985]: 13249; a[1416]: 434296
a[550]: -446507; a[587]: -399395; a[1832]: 845902
a[550]: -446507; a[668]: -322299; a[1742]: 768806
a[550]: -446507; a[1067]: 99214; a[1324]: 347293
a[553]: -443783; a[652]: -330385; a[1749]: 774168
a[553]: -443783; a[749]: -243121; a[1654]: 686904
a[554]: -442472; a[941]: -40371; a[1470]: 482843
a[554]: -442472; a[1129]: 155091; a[1265]: 287381
a[555]: -438120; a[821]: -168292; a[1583]: 606412
a[557]: -436226; a[755]: -233322; a[1642]: 669548
a[557]: -436226; a[977]: -3804; a[1423]: 440030
a[558]: -433857; a[1162]: 181170; a[1223]: 252687
a[561]: -431827; a[1082]: 112319; a[1298]: 319508
a[563]: -429882; a[579]: -409543; a[1827]: 839425
a[563]: -429882; a[591]: -393162; a[1807]: 823044
a[563]: -429882; a[984]: 3752; a[1407]: 426130
a[564]: -428705; a[1006]: 28894; a[1380]: 399811
a[567]: -425926; a[661]: -328020; a[1727]: 753946
a[567]: -425926; a[947]: -35046; a[1446]: 460972
a[568]: -425815; a[1003]: 27309; a[1378]: 398506
a[569]: -425739; a[1084]: 113632; a[1286]: 312107
a[575]: -419480; a[1161]: 178496; a[1215]: 240984
a[575]: -419480; a[1180]: 199524; a[1191]: 219956
a[577]: -418732; a[654]: -329433; a[1721]: 748165
a[578]: -416608; a[964]: -17518; a[1414]: 434126
a[579]: -409543; a[980]: -1256; a[1392]: 410799
a[579]: -409543; a[1074]: 106738; a[1279]: 302805
a[584]: -402595; a[1059]: 85168; a[1293]: 317427
a[585]: -402513; a[824]: -159681; a[1551]: 562194
a[585]: -402513; a[930]: -48561; a[1431]: 451074
a[589]: -394247; a[1084]: 113632; a[1260]: 280615
a[592]: -390711; a[976]: -7080; a[1377]: 397791
a[593]: -389121; a[856]: -124243; a[1506]: 513364
a[593]: -389121; a[1030]: 50632; a[1315]: 338489
a[594]: -388939; a[629]: -359226; a[1721]: 748165
a[595]: -387895; a[1130]: 155748; a[1206]: 232147
a[597]: -383827; a[974]: -10587; a[1374]: 394414
a[597]: -383827; a[1051]: 71257; a[1287]: 312570
a[598]: -383393; a[1158]: 175220; a[1184]: 208173
a[600]: -383120; a[1039]: 57722; a[1304]: 325398
a[601]: -382337; a[1021]: 43848; a[1315]: 338489
a[607]: -377003; a[879]: -97334; a[1461]: 474337
a[608]: -376511; a[1167]: 186262; a[1171]: 190249
a[611]: -370988; a[772]: -212959; a[1564]: 583947
a[611]: -370988; a[1091]: 120516; a[1220]: 250472
a[612]: -369244; a[737]: -253629; a[1600]: 622873
a[612]: -369244; a[960]: -20368; a[1367]: 389612
a[613]: -367772; a[636]: -352451; a[1695]: 720223
a[614]: -366236; a[855]: -125607; a[1481]: 491843
a[614]: -366236; a[915]: -68820; a[1418]: 435056
a[616]: -365580; a[1079]: 111411; a[1226]: 254169
a[617]: -364774; a[854]: -126303; a[1479]: 491077
a[619]: -363749; a[825]: -159280; a[1517]: 523029
a[621]: -362886; a[940]: -41116; a[1385]: 404002
a[622]: -362809; a[884]: -95438; a[1439]: 458247
a[622]: -362809; a[1153]: 170476; a[1173]: 192333
a[624]: -362188; a[745]: -247829; a[1588]: 610017
a[625]: -361918; a[1051]: 71257; a[1267]: 290661
a[626]: -361498; a[1074]: 106738; a[1229]: 254760
a[628]: -360570; a[726]: -265833; a[1602]: 626403
a[631]: -355563; a[908]: -77867; a[1413]: 433430
a[632]: -354888; a[662]: -327747; a[1652]: 682635
a[636]: -352451; a[987]: 13962; a[1315]: 338489
a[639]: -346431; a[751]: -235083; a[1563]: 581514
a[639]: -346431; a[1059]: 85168; a[1237]: 261263
a[640]: -345589; a[732]: -260337; a[1582]: 605926
a[642]: -340389; a[821]: -168292; a[1501]: 508681
a[644]: -337377; a[792]: -199842; a[1527]: 537219
a[644]: -337377; a[822]: -165527; a[1491]: 502904
a[645]: -337366; a[1079]: 111411; a[1200]: 225955
a[646]: -337231; a[882]: -96199; a[1413]: 433430
a[648]: -334505; a[747]: -247009; a[1563]: 581514
a[650]: -332141; a[879]: -97334; a[1411]: 429475
a[651]: -331347; a[916]: -68464; a[1380]: 399811
a[653]: -329967; a[925]: -55729; a[1363]: 385696
a[655]: -329206; a[713]: -275947; a[1581]: 605153
a[656]: -329103; a[936]: -43878; a[1348]: 372981
a[659]: -328660; a[1034]: 54384; a[1251]: 274276
a[660]: -328387; a[714]: -275460; a[1577]: 603847
a[661]: -328020; a[1090]: 120038; a[1183]: 207982
a[663]: -327691; a[1028]: 47940; a[1258]: 279751
a[666]: -324240; a[1105]: 131781; a[1175]: 192459
a[666]: -324240; a[1124]: 149020; a[1158]: 175220
a[667]: -323521; a[837]: -144455; a[1457]: 467976
a[670]: -321854; a[934]: -46241; a[1340]: 368095
a[671]: -320951; a[693]: -293457; a[1594]: 614408
a[674]: -319799; a[721]: -270006; a[1570]: 589805
a[675]: -319593; a[720]: -272629; a[1571]: 592222
a[681]: -311188; a[927]: -54579; a[1337]: 365767
a[681]: -311188; a[938]: -41691; a[1329]: 352879
a[683]: -308416; a[690]: -295946; a[1580]: 604362
a[688]: -302257; a[1105]: 131781; a[1153]: 170476
a[689]: -298332; a[802]: -188839; a[1475]: 487171
a[690]: -295946; a[1024]: 44775; a[1221]: 251171
a[693]: -293457; a[961]: -20347; a[1288]: 313804
a[696]: -290709; a[1074]: 106738; a[1165]: 183971
a[697]: -289968; a[953]: -28560; a[1296]: 318528
a[699]: -288684; a[1097]: 126403; a[1136]: 162281
a[701]: -287099; a[775]: -211861; a[1488]: 498960
a[702]: -286508; a[1008]: 29332; a[1232]: 257176
a[703]: -282890; a[777]: -211464; a[1485]: 494354
a[704]: -282308; a[736]: -255682; a[1528]: 537990
a[704]: -282308; a[993]: 19655; a[1240]: 262653
a[706]: -281493; a[937]: -42630; a[1303]: 324123
a[709]: -278615; a[939]: -41418; a[1300]: 320033
a[710]: -276935; a[767]: -221911; a[1487]: 498846
a[711]: -276906; a[803]: -188350; a[1455]: 465256
a[712]: -276545; a[980]: -1256; a[1255]: 277801
a[713]: -275947; a[843]: -139334; a[1397]: 415281
a[713]: -275947; a[977]: -3804; a[1258]: 279751
a[715]: -275108; a[805]: -186188; a[1448]: 461296
a[716]: -274955; a[865]: -113011; a[1364]: 387966
a[718]: -273067; a[921]: -58272; a[1308]: 331339
a[721]: -270006; a[1043]: 61223; a[1185]: 208783
a[722]: -269875; a[959]: -20591; a[1266]: 290466
a[723]: -268590; a[836]: -145489; a[1395]: 414079
a[723]: -268590; a[1069]: 100019; a[1150]: 168571
a[726]: -265833; a[969]: -15347; a[1261]: 281180
a[730]: -262316; a[865]: -113011; a[1352]: 375327
a[730]: -262316; a[869]: -110004; a[1345]: 372320
a[734]: -257004; a[831]: -149999; a[1390]: 407003
a[735]: -255922; a[1028]: 47940; a[1183]: 207982
a[735]: -255922; a[1064]: 93641; a[1136]: 162281
a[740]: -252520; a[1004]: 27498; a[1199]: 225022
a[741]: -252366; a[821]: -168292; a[1401]: 420658
a[743]: -250615; a[1045]: 62036; a[1170]: 188579
a[745]: -247829; a[881]: -96852; a[1322]: 344681
a[745]: -247829; a[1061]: 89762; a[1133]: 158067
a[747]: -247009; a[847]: -135078; a[1356]: 382087
a[748]: -246217; a[802]: -188839; a[1418]: 435056
a[748]: -246217; a[1090]: 120038; a[1096]: 126179
a[749]: -243121; a[823]: -159888; a[1384]: 403009
a[752]: -234617; a[898]: -82093; a[1291]: 316710
a[754]: -233495; a[1066]: 99179; a[1109]: 134316
